City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Nanortalik,GL,60.1432,-45.2371,48.42,80,86,11.05,overcast clouds
184,Chaman,PK,30.9236,66.4512,78.85,18,1,6.31,clear sky
185,Zarate,AR,-34.0981,-59.0286,57.02,62,10,2.73,clear sky
186,Biltine,TD,14.5333,20.9167,84.6,59,74,10.85,broken clouds
187,Abonnema,NG,4.7084,6.7931,76.57,86,100,7.05,overcast clouds
188,Nalut,LY,30.3333,10.85,89.8,12,0,9.22,clear sky
189,Santa Isabel,BR,-23.3156,-46.2214,57.4,95,94,3.53,overcast clouds
190,Mikuni,JP,36.2171,136.1519,76.91,80,17,2.68,few clouds
191,Turukhansk,RU,65.8167,87.9833,55.71,63,100,6.38,overcast clouds
192,Carnarvon,AU,-24.8667,113.6333,53.67,58,90,3.44,overcast clouds
193,Troitskoye,RU,52.9821,84.6757,58.77,62,74,5.28,broken clouds
194,Voronovytsya,UA,49.1095,28.6808,70.2,81,32,6.89,scattered clouds
195,Zagan,PL,51.6176,15.3149,64.69,63,15,5.53,few clouds
196,Marau,BR,-28.4492,-52.2,49.78,67,67,3.4,broken clouds
197,Ciudad Bolivar,VE,8.1222,-63.5497,85.59,65,54,5.7,broken clouds
198,Kato Mazarakion,GR,38.0667,21.65,82.24,43,0,2.46,clear sky
199,Ilulissat,GL,69.2167,-51.1,42.35,79,16,5.88,few clouds
200,Tatawin,TN,32.9297,10.4518,97.68,16,1,6.8,clear sky
201,Magangue,CO,9.242,-74.7547,94.32,50,11,1.79,few clouds
202,Aitape,PG,-3.1374,142.3475,78.75,83,54,2.71,broken clouds
203,Oneonta,US,42.4529,-75.0638,73.09,60,15,5.3,few clouds
204,Port Antonio,JM,18.18,-76.4612,86.95,76,16,4.16,few clouds
205,Ashcroft,CA,50.7165,-121.2859,89.94,21,100,8.5,overcast clouds
206,Souillac,MU,-20.5167,57.5167,70.36,78,40,14.97,scattered clouds
207,Byron Bay,AU,-28.65,153.6167,63.05,75,5,11.92,clear sky
208,Weligama,LK,5.9667,80.4167,78.17,87,46,10.89,scattered clouds
209,Ballina,AU,-28.8667,153.5667,57.38,100,0,0.0,clear sky
210,Beloha,MG,-25.1667,45.05,63.97,75,0,12.75,clear sky
211,Bubaque,GW,11.2833,-15.8333,77.56,90,100,19.6,moderate rain
212,Puri,IN,19.8,85.85,81.12,78,100,9.82,overcast clouds
213,Victoria,HK,22.2855,114.1577,86.97,89,99,1.99,light rain
214,Bredasdorp,ZA,-34.5322,20.0403,52.29,93,100,3.44,overcast clouds
215,Nadym,RU,65.5333,72.5167,48.24,82,44,9.08,scattered clouds
216,Whitehorse,CA,60.7161,-135.0538,81.1,31,20,11.01,few clouds
217,Vestmanna,FO,62.1564,-7.1664,47.32,76,90,8.05,overcast clouds
218,Havelock,US,34.8791,-76.9013,94.05,82,75,5.75,light rain
219,Tevaitoa,PF,-16.7833,-151.5,77.85,60,99,15.14,overcast clouds
220,Xining,CN,36.6167,101.7667,54.95,72,5,3.24,clear sky
221,Alice Springs,AU,-23.7,133.8833,53.15,82,0,3.44,clear sky
222,Mezen,RU,65.8522,44.24,46.98,99,65,4.41,broken clouds
223,Cabo San Lucas,MX,22.8909,-109.9124,97.52,58,75,5.01,broken clouds
224,Horta,PT,38.5333,-28.6333,71.11,83,52,7.43,broken clouds
225,Deputatskiy,RU,69.3,139.9,42.62,83,100,6.22,overcast clouds
226,Tubuala,PA,9.5167,-79.0333,89.33,83,86,8.21,overcast clouds
227,Ust-Omchug,RU,61.15,149.6333,59.18,45,39,2.64,scattered clouds
228,Adrar,MR,20.5022,-10.0711,89.89,39,70,16.84,broken clouds
229,Sistranda,NO,63.7256,8.834,51.91,75,100,16.28,overcast clouds
230,Iqaluit,CA,63.7506,-68.5145,55.13,58,75,3.0,broken clouds
231,Jeremie,HT,18.65,-74.1167,85.35,70,23,2.66,few clouds
232,Tukrah,LY,32.5341,20.5791,81.36,63,0,1.79,clear sky
233,Saint-Joseph,RE,-21.3667,55.6167,66.56,80,14,11.23,few clouds
234,Dingle,PH,10.9995,122.6711,78.31,88,99,6.44,overcast clouds
235,Erenhot,CN,43.6475,111.9767,61.92,65,0,9.28,clear sky
236,Rio Grande,BR,-32.035,-52.0986,53.71,87,0,7.87,clear sky
237,Koumac,NC,-20.5667,164.2833,69.15,54,12,13.71,few clouds
238,Palmer,US,42.1584,-72.3287,75.47,46,40,1.01,scattered clouds
239,Madimba,TZ,-10.4,40.3333,72.52,85,8,10.45,clear sky
240,Saskylakh,RU,71.9167,114.0833,69.78,44,0,7.58,clear sky
241,Ribeira Grande,PT,38.5167,-28.7,71.91,83,49,7.58,scattered clouds
242,Labuhan,ID,-6.8844,112.2051,75.13,86,79,6.55,broken clouds
243,Ahipara,NZ,-35.1667,173.1667,57.02,70,10,5.37,clear sky
244,Plettenberg Bay,ZA,-34.0527,23.3716,60.62,38,18,3.29,few clouds
245,Chernitsyno,RU,51.5074,36.051,65.68,57,8,4.29,clear sky
