City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
141,Soroca,MD,83.41,2021-07-25 15:21:28,48.1558,28.2975,Hotel Central
143,Isabela,PH,80.1,2021-07-25 15:21:29,6.7085,121.9711,Isawad Resort
144,Santa Maria,BR,75.54,2021-07-25 15:17:29,-29.6842,-53.8069,Hotel Morotin
146,Huambo,AO,76.8,2021-07-25 15:21:29,-12.7761,15.7392,SiSHotel
147,Kumluca,TR,86.74,2021-07-25 15:21:30,36.3703,30.2869,TurkuazKöy
148,Montepuez,MZ,70.79,2021-07-25 15:21:30,-13.1256,38.9997,PembaAparthotel
149,Vao,NC,70.7,2021-07-25 15:21:30,-22.6667,167.4833,Hotel Kou-Bugny
151,Hasaki,JP,77.4,2021-07-25 15:21:31,35.7333,140.8333,Hotel Sunrise Choshi
152,Ambon,ID,78.94,2021-07-25 15:21:31,-3.6954,128.1814,Swiss-Belhotel Ambon
154,San Vicente,AR,77.58,2021-07-25 15:21:32,-26.6167,-54.1333,Complejo Turístico Farelluk
156,Japura,ID,80.58,2021-07-25 15:21:33,-0.3167,102.35,Rumah mbah Jamah
157,Wanning,CN,80.74,2021-07-25 15:19:02,18.8003,110.3967,Paradise Hotel
158,Haapsalu,EE,77.54,2021-07-25 15:21:33,58.9431,23.5414,Fra Mare Thalasso Spa
159,Frontera Comalapa,MX,78.21,2021-07-25 15:21:33,15.65,-92.1333,Hotel del Angel
164,Ilhabela,BR,76.87,2021-07-25 15:21:35,-23.7781,-45.3581,Ilha Flat Hotel
165,Neiafu,TO,74.08,2021-07-25 15:21:35,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
169,Los Llanos De Aridane,ES,77.13,2021-07-25 15:21:36,28.6585,-17.9182,Valle Aridane
172,Bama,NG,86.65,2021-07-25 15:21:37,11.5221,13.6856,UN Humanitarian Hub
178,Kanniyakumari,IN,79.93,2021-07-25 15:21:38,8.0833,77.5667,Sparsa
180,Rivers,CA,70.75,2021-07-25 15:21:39,50.0308,-100.2403,Blue Crescent Hotels
